Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,45-54,1089,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,55-64,1509,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,65-74,1432,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,75-84,753,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,85+,220,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Obesity,Obesity,E65-E68,All ages,6059,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,2,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,51,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,397,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,1720,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,3750,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Alzheimer disease,Alzheimer disease,G30,All ages,5920,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,21,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,293,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,1804,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,5705,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,11575,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,19400,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,0-24,17,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,25-34,120,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,35-44,305,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,45-54,948,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,55-64,2151,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,65-74,3724,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,75-84,3817,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,85+,3445,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
8/30/2020,2/1/2020,8/29/2020,US,Renal failure,Renal failure,N17-N19,All ages,14529,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,40,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,135,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,197,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,335,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,628,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1061,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1306,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1720,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,2,
8/30/2020,2/1/2020,8/29/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,5424,
8/30/2020,2/1/2020,8/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,270,
8/30/2020,2/1/2020,8/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,737,
8/30/2020,2/1/2020,8/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1700,
8/30/2020,2/1/2020,8/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,4470,
8/30/2020,2/1/2020,8/29/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,11089,
